level1_time,level1_attempts,level1_hints,level1_stars,level2_time,level2_attempts,level2_hints,level2_stars,level3_time,level3_attempts,level3_hints,level3_stars,difficulty_label,difficulty_name
120,4,2,2,133,3,2,2,116,3,2,2,0,easy-basic
87,4,3,1,95,5,2,2,115,5,2,2,0,easy-basic
93,4,2,1,74,3,2,2,100,3,2,1,0,easy-basic
63,3,3,1,64,3,2,2,68,3,2,1,0,easy-basic
117,5,3,2,83,3,2,1,135,5,2,2,0,easy-basic
76,3,3,2,92,4,3,1,88,5,2,1,0,easy-basic
97,5,2,1,89,4,3,1,98,4,2,1,0,easy-basic
84,4,3,1,74,3,2,2,90,5,2,2,0,easy-basic
133,4,2,1,115,3,2,2,131,3,2,1,0,easy-basic
72,5,3,1,111,4,2,1,98,5,2,1,0,easy-basic
76,3,2,1,129,4,2,2,78,5,3,2,0,easy-basic
105,5,3,2,101,5,3,2,79,4,2,1,0,easy-basic
94,5,2,1,77,4,2,1,119,4,2,1,0,easy-basic
91,3,3,2,138,3,3,2,104,5,2,1,0,easy-basic
106,5,3,1,74,3,3,1,88,4,2,1,0,easy-basic
98,3,2,1,62,3,2,2,126,4,3,2,0,easy-basic
85,5,3,1,111,3,2,1,138,5,2,1,0,easy-basic
123,3,3,2,85,3,2,2,119,4,2,1,0,easy-basic
65,5,2,1,103,5,2,1,124,3,2,1,0,easy-basic
133,5,2,1,91,5,2,2,87,5,2,1,0,easy-basic
127,5,3,2,128,5,2,1,63,5,3,2,0,easy-basic
98,4,2,2,139,3,3,1,113,3,2,1,0,easy-basic
103,5,2,2,135,4,3,1,118,3,2,2,0,easy-basic
104,5,3,2,94,3,2,2,94,4,3,2,0,easy-basic
138,5,3,2,82,3,2,2,84,3,2,2,0,easy-basic
61,5,3,2,110,5,3,2,98,5,3,1,0,easy-basic
72,3,2,2,122,3,2,2,74,3,3,2,0,easy-basic
104,4,3,2,114,3,3,2,78,4,2,1,0,easy-basic
117,4,3,1,65,4,2,1,127,4,2,2,0,easy-basic
98,4,3,1,69,5,3,1,83,4,2,2,0,easy-basic
61,4,3,1,63,5,3,2,136,4,2,2,0,easy-basic
66,3,2,1,85,3,3,2,125,5,3,2,0,easy-basic
80,4,3,2,95,5,2,2,138,4,3,2,0,easy-basic
66,4,3,1,118,3,2,1,100,4,2,1,0,easy-basic
70,4,2,1,82,5,3,1,137,3,3,2,0,easy-basic
122,3,3,2,76,3,3,1,135,5,2,2,0,easy-basic
133,4,3,2,112,4,3,1,103,4,2,1,0,easy-basic
69,5,3,2,119,3,2,1,69,5,2,2,0,easy-basic
135,3,3,2,140,5,3,1,95,3,3,2,0,easy-basic
78,4,2,1,119,4,2,1,96,5,3,1,0,easy-basic
117,3,3,2,77,4,2,2,72,3,2,2,0,easy-basic
137,4,3,2,137,4,3,2,108,3,3,1,0,easy-basic
114,3,2,2,74,4,3,1,103,3,3,1,0,easy-basic
66,4,3,2,101,5,2,1,107,4,3,2,0,easy-basic
99,5,3,1,133,5,2,1,126,4,3,1,0,easy-basic
139,3,3,1,72,4,3,2,76,4,3,1,0,easy-basic
67,5,2,2,114,5,3,2,129,3,2,2,0,easy-basic
95,5,3,2,135,3,3,2,123,3,3,1,0,easy-basic
124,5,3,1,134,5,3,1,71,4,3,1,0,easy-basic
133,4,2,2,97,3,3,1,86,4,2,1,0,easy-basic
63,5,2,1,89,3,2,2,107,4,3,1,0,easy-basic
92,5,3,2,107,4,2,1,120,4,3,2,0,easy-basic
116,4,2,1,96,4,2,2,98,5,2,1,0,easy-basic
74,3,3,2,94,5,3,2,123,4,2,2,0,easy-basic
105,4,3,1,120,3,3,1,102,5,2,1,0,easy-basic
103,5,2,2,67,5,2,2,126,5,2,2,0,easy-basic
86,4,2,1,122,4,2,1,66,4,3,1,0,easy-basic
111,4,3,2,83,4,2,1,80,5,2,1,0,easy-basic
123,5,2,2,64,3,2,2,94,3,2,2,0,easy-basic
65,4,3,1,94,3,2,1,71,3,2,1,0,easy-basic
113,4,2,1,64,4,2,1,117,5,2,2,0,easy-basic
97,3,2,2,132,3,3,1,126,4,2,2,0,easy-basic
87,5,3,1,97,3,3,2,89,5,3,2,0,easy-basic
101,4,2,2,127,4,2,2,70,3,3,1,0,easy-basic
72,3,2,1,125,3,3,2,84,4,3,1,0,easy-basic
138,3,2,1,138,3,3,2,116,5,3,2,0,easy-basic
109,5,3,2,139,4,2,2,65,3,3,2,0,easy-basic
78,3,2,2,119,3,3,2,122,4,3,1,0,easy-basic
98,3,2,2,82,5,3,2,123,3,3,1,0,easy-basic
136,5,3,1,77,3,2,1,138,3,3,2,0,easy-basic
83,4,3,2,104,3,3,1,105,3,3,2,0,easy-basic
135,3,3,2,126,5,2,1,105,5,3,2,0,easy-basic
114,5,2,2,137,5,3,1,123,4,2,2,0,easy-basic
120,4,3,1,124,3,3,2,60,4,2,1,0,easy-basic
115,4,2,2,127,3,2,2,109,3,2,2,0,easy-basic
138,5,2,2,61,5,2,2,131,3,3,2,0,easy-basic
99,4,2,1,124,5,3,1,124,5,2,2,0,easy-basic
87,3,2,2,114,3,2,1,77,4,3,1,0,easy-basic
109,5,2,1,127,5,3,1,99,3,3,2,0,easy-basic
75,3,2,1,116,5,3,1,139,4,2,2,0,easy-basic
74,5,3,1,115,4,2,1,72,4,3,1,0,easy-basic
129,4,3,2,122,4,3,2,116,5,3,2,0,easy-basic
120,4,3,2,62,4,2,1,92,3,2,2,0,easy-basic
76,3,3,2,118,3,2,2,104,4,2,2,0,easy-basic
122,5,3,2,114,3,3,1,93,5,2,1,0,easy-basic
126,5,3,1,95,3,3,2,110,4,2,1,0,easy-basic
89,4,3,1,76,3,3,2,133,3,2,1,0,easy-basic
96,4,3,1,82,3,3,2,133,3,3,1,0,easy-basic
68,5,2,1,132,5,3,2,140,4,3,1,0,easy-basic
137,5,2,1,131,5,3,2,137,5,2,2,0,easy-basic
64,5,2,1,72,5,3,1,70,5,2,2,0,easy-basic
70,3,3,1,95,4,2,2,60,5,3,2,0,easy-basic
132,5,2,2,96,3,3,2,117,4,2,2,0,easy-basic
73,4,2,2,65,5,3,2,60,4,2,2,0,easy-basic
91,5,3,1,77,5,3,2,92,3,2,2,0,easy-basic
103,3,2,2,116,5,2,1,89,4,3,1,0,easy-basic
132,4,3,2,112,4,2,1,103,4,2,1,0,easy-basic
105,5,3,2,134,4,2,2,71,3,3,1,0,easy-basic
95,3,2,1,80,5,3,2,72,3,2,2,0,easy-basic
127,3,2,2,131,5,2,1,80,4,2,1,0,easy-basic
136,4,3,2,60,3,3,1,131,5,2,1,0,easy-basic
92,5,3,1,126,3,2,2,137,5,3,1,0,easy-basic
87,4,3,2,106,5,3,1,97,3,3,2,0,easy-basic
107,3,3,2,101,4,3,1,75,4,2,2,0,easy-basic
91,5,2,1,87,5,2,1,109,3,3,2,0,easy-basic
64,4,3,2,138,5,3,2,95,4,3,2,0,easy-basic
130,3,3,2,115,3,3,1,128,5,2,2,0,easy-basic
78,3,3,1,116,5,2,1,126,4,3,2,0,easy-basic
98,3,2,1,136,5,2,1,122,5,2,2,0,easy-basic
66,4,2,1,108,5,3,1,98,3,2,1,0,easy-basic
74,3,3,2,115,5,3,2,119,4,2,2,0,easy-basic
64,3,2,1,107,3,3,1,121,3,3,2,0,easy-basic
112,5,2,2,86,4,3,1,119,3,2,2,0,easy-basic
